,Unnamed: 0,time,latitude,longitude,depth,magnitude,event_description,associated_phase_count,azimuthal_gap,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,stations,strike,dip,rake,kappa,scalar error,template-id,Slip style
6329,6329,2016-11-15 09:55:13.126483,-42.020273,172.82551,75378.906,3.84392811882,,41.0,81.7797,smi:local/2016_11_15t09_55_25_20161115T095525.011729,,3.84392811882,,,ML,21.0,20.0,21.0,40.0,0.266473,41.0,21.0,2576.14828766,2021-06-09 22:14:45.000000,EQcorrscan,,2021-06-08 15:42:50.625428,,"BHW, BSWZ, CAW, DSZ, DUWZ, GVZ, KHZ, KIW, LTZ, MQZ, MRNZ, MTW, NNZ, OGWZ, OXZ, PLWZ, TCW, THZ, TKNZ, TUWZ, WEL",36.4702669471829,63.0447844969589,113.739377907831,4.37022462635008,21.7780487746833,2016_11_15t09_55_25,Reverse
6330,6330,2016-11-15 09:58:39.077000,-42.0802,173.71389,968.0,2.31564674522,,0.0,,smi:local/2016_11_15t12_32_20_20161115T095842.711729,40.0,2.31564674522,,,ML,0.0,0.0,19.0,35.0,1.01199090008,592.0,0.0,81.0,2021-06-09 22:14:49.000000,EQcorrscan,,2021-06-08 15:42:40.119403,,,,,,,,2016_11_15t12_32_20,Unknown
6331,6331,2016-11-15 09:58:44.636000,-42.3009,173.78346,9102.0,2.24952360643,,0.0,,smi:local/2016_11_15t09_21_56_20161115T095850.411729,156.0,2.24952360643,,,ML,0.0,0.0,11.0,21.0,1.04306042885,146.0,0.0,226.0,2021-06-09 22:14:52.000000,EQcorrscan,,2021-06-08 15:42:26.086939,,,,,,,,2016_11_15t09_21_56,Unknown
6332,6332,2016-11-15 09:59:22.369000,-42.07928,173.71194,991.0,2.45390512097,,0.0,,smi:local/2016_11_15t12_32_20_20161115T095926.311729,23.0,2.45390512097,,,ML,0.0,0.0,10.0,30.0,2.28641446234,370.0,0.0,83.0,2021-06-09 22:14:55.000000,EQcorrscan,,2021-06-08 15:42:40.504848,,,,,,,,2016_11_15t12_32_20,Unknown
6333,6333,2016-11-15 09:59:43.014000,-42.008,173.73239,10858.0,2.23944469454,,0.0,,smi:local/2016_11_17t18_44_15_20161115T095947.511729,918.0,2.23944469454,,,ML,0.0,0.0,14.0,34.0,0.598840532286,733.0,0.0,483.0,2021-06-09 22:15:00.000000,EQcorrscan,,2021-06-08 15:42:59.044980,,,,,,,,2016_11_17t18_44_15,Normal
6334,6334,2016-11-15 10:01:10.111000,-41.72451,174.22714,11286.0,1.96766196958,,0.0,,smi:local/2016_11_14t00_59_03_20161115T100113.045063,491.0,1.96766196958,,,ML,0.0,0.0,5.0,15.0,0.72611827957,154.0,0.0,223.0,2021-06-09 22:15:01.000000,EQcorrscan,,2021-06-08 15:42:29.081104,,,,,,,,2016_11_14t00_59_03,Unknown
6335,6335,2016-11-15 10:01:54.028000,-42.40539,173.71367,920.0,1.90015935003,,0.0,,smi:local/2016_11_15t08_29_33_20161115T100157.911729,155.0,1.90015935003,,,ML,0.0,0.0,7.0,16.0,1.09291666667,129.0,0.0,149.0,2021-06-09 22:15:03.000000,EQcorrscan,,2021-06-08 15:43:02.140064,,,,,,,,2016_11_15t08_29_33,Unknown
6336,6336,2016-11-15 10:02:28.137588,-41.98497,174.052553,-1671.875,1.67368063071,,6.0,290.734,smi:local/2016_11_14t22_59_12_20161115T100229.511729,,1.67368063071,,,ML,2.0,4.0,2.0,5.0,0.379801,6.0,5.0,13488.847245,2021-06-09 22:15:04.000000,EQcorrscan,,2021-06-08 15:42:52.327762,,"BSWZ, DUWZ, NNZ, OGWZ, TUWZ",,,,,,2016_11_14t22_59_12,Unknown
6337,6337,2016-11-15 10:05:46.797063,-42.472398,173.872179,3835.938,1.6749070813,,14.0,227.77,smi:local/2016_11_15t08_57_17_20161115T100552.311729,,1.6749070813,,,ML,6.0,8.0,6.0,14.0,0.344187,14.0,9.0,4274.50581939,2021-06-09 22:15:06.000000,EQcorrscan,,2021-06-08 15:42:52.134509,,"BSWZ, DSZ, GVZ, LTZ, MRNZ, NNZ, OXZ, THZ, TUWZ",,,,,,2016_11_15t08_57_17,Unknown
6338,6338,2016-11-15 10:07:18.068000,-42.29064,173.65309,14265.0,2.85931110181,,0.0,,smi:local/2016_11_15t10_07_22_20161115T100722.978396,479.0,2.85931110181,,,ML,0.0,0.0,19.0,28.0,0.646959064327,148.0,0.0,142.0,2021-06-09 22:15:10.000000,EQcorrscan,,2021-06-08 15:42:28.165159,,,36.9193432179855,42.8356681800615,162.030497450664,2.84320061852815,27.7760430652113,2016_11_15t10_07_22,Strike-slip
6339,6339,2016-11-15 10:09:23.926402,-41.845902,174.160228,7947.266,3.39125470177,,32.0,145.421,smi:local/2016_11_15t10_09_27_20161115T100927.245063,,3.39125470177,,,ML,19.0,13.0,19.0,26.0,0.261722,32.0,20.0,1378.70954156,2021-06-09 22:15:14.000000,EQcorrscan,,2021-06-08 15:42:37.014622,,"BHW, BSWZ, CAW, CMWZ, DSZ, DUWZ, GVZ, KHZ, KIW, MRNZ, MTW, NNZ, OGWZ, OXZ, PLWZ, TCW, THZ, TKNZ, TUWZ, WEL",20.3367903923875,27.5627422367023,-3.65919985343573,2.85870629291369,27.6906852072296,2016_11_15t10_09_27,Strike-slip
6340,6340,2016-11-15 10:10:54.872000,-42.08869,173.75578,6001.0,3.12439788379,,0.0,,smi:local/2016_11_15t10_11_03_20161115T101103.311729,76.0,3.12439788379,,,ML,0.0,0.0,6.0,11.0,2.42259259259,62.0,0.0,47.0,2021-06-09 22:15:16.000000,EQcorrscan,,2021-06-08 15:43:00.024271,,,251.650608321783,67.4187140672626,175.968396230071,2.81453969503122,27.935754702669,2016_11_15t10_11_03,Strike-slip
6341,6341,2016-11-15 10:12:17.179341,-41.722088,174.265798,10476.562,1.78905764368,,6.0,157.18,smi:local/2016_11_13t17_35_54_20161115T101219.878396,,1.78905764368,,,ML,1.0,5.0,1.0,7.0,0.0771825,6.0,5.0,13525.901079,2021-06-09 22:15:17.000000,EQcorrscan,,2021-06-08 15:42:28.342010,,"BSWZ, CMWZ, OGWZ, PLWZ, WEL",,,,,,2016_11_13t17_35_54,Unknown
6342,6342,2016-11-15 10:13:27.170000,-42.08007,173.7149,909.0,2.40588913391,,0.0,,smi:local/2016_11_15t12_32_20_20161115T101331.645063,30.0,2.40588913391,,,ML,0.0,0.0,17.0,36.0,1.07324556366,638.0,0.0,80.0,2021-06-09 22:15:21.000000,EQcorrscan,,2021-06-08 15:42:40.063997,,,,,,,,2016_11_15t12_32_20,Unknown
6343,6343,2016-11-15 10:13:55.893000,-42.0724,173.66297,6454.0,2.65821566106,,0.0,,smi:local/2016_11_15t12_32_20_20161115T101358.678396,124.0,2.65821566106,,,ML,0.0,0.0,2.0,27.0,0.19,147.0,0.0,323.0,2021-06-09 22:15:24.000000,EQcorrscan,,2021-06-08 15:42:40.787969,,,,,,,,2016_11_15t12_32_20,Unknown
6344,6344,2016-11-15 10:14:36.920000,-41.90337,174.13989,6760.0,2.89180940008,,0.0,,smi:local/2016_11_15t10_14_41_20161115T101441.611729,162.0,2.89180940008,,,ML,0.0,0.0,21.0,34.0,0.525204623943,884.0,0.0,394.0,2021-06-09 22:15:28.000000,EQcorrscan,,2021-06-08 15:42:49.958858,,,106.79407235869,86.9878107350746,-88.4473729278458,2.59411884525109,29.2552071228776,2016_11_15t10_14_41,Normal
6345,6345,2016-11-15 10:15:33.139000,-42.04584,173.75263,8452.0,3.26208613541,,0.0,,smi:local/2016_11_15t10_15_41_20161115T101541.445063,515.0,3.26208613541,,,ML,0.0,0.0,18.0,34.0,0.92,68.0,0.0,817.0,2021-06-09 22:15:33.000000,EQcorrscan,,2021-06-08 15:43:03.220742,,,253.799297749773,44.4344781548516,-124.185830845785,4.56218820301856,21.2546487163513,2016_11_15t10_15_41,Normal
6346,6346,2016-11-15 10:16:08.017639,-42.34431,173.77888,7058.594,2.78128312194,,10.0,203.057,smi:local/2016_11_17t10_56_03_20161115T101612.578396,,2.78128312194,,,ML,3.0,7.0,3.0,11.0,0.137843,10.0,8.0,2765.28117919,2021-06-09 22:15:34.000000,EQcorrscan,,2021-06-08 15:42:32.951616,,"DSZ, DUWZ, GVZ, KHZ, LTZ, MQZ, THZ, TUWZ",,,,,,2016_11_17t10_56_03,Unknown
6347,6347,2016-11-15 10:16:32.240000,-42.08089,173.71542,980.0,2.90734497995,,0.0,,smi:local/2016_11_15t12_32_20_20161115T101636.211729,29.0,2.90734497995,,,ML,0.0,0.0,15.0,36.0,1.2365047619,605.0,0.0,65.0,2021-06-09 22:15:38.000000,EQcorrscan,,2021-06-08 15:42:40.091763,,,,,,,,2016_11_15t12_32_20,Unknown
6348,6348,2016-11-15 10:17:08.397000,-42.08154,173.7155,1179.0,2.10861011202,,0.0,,smi:local/2016_11_15t12_32_20_20161115T101712.211729,195.0,2.10861011202,,,ML,0.0,0.0,3.0,21.0,4.21071428571,162.0,0.0,888.0,2021-06-09 22:15:41.000000,EQcorrscan,,2021-06-08 15:42:41.038038,,,,,,,,2016_11_15t12_32_20,Unknown
6349,6349,2016-11-15 10:17:38.027000,-42.23934,173.68539,11608.0,1.99153702305,,0.0,,smi:local/2016_12_22t09_27_28_20161115T101742.545063,193.0,1.99153702305,,,ML,0.0,0.0,9.0,23.0,0.207497165533,121.0,0.0,96.0,2021-06-09 22:15:43.000000,EQcorrscan,,2021-06-08 15:42:43.766772,,,,,,,,2016_12_22t09_27_28,Strike-slip
6350,6350,2016-11-15 10:18:13.817042,-42.072735,173.692074,-2980.469,2.19346222581,,16.0,148.235,smi:local/2016_11_15t12_32_20_20161115T101818.078396,,2.19346222581,,,ML,5.0,11.0,5.0,18.0,0.547715,16.0,12.0,5289.33833291,2021-06-09 22:15:45.000000,EQcorrscan,,2021-06-08 15:42:40.901003,,"BSWZ, CMWZ, DSZ, GVZ, KHZ, LTZ, MRNZ, NNZ, OXZ, THZ, TKNZ, TUWZ",,,,,,2016_11_15t12_32_20,Unknown
6351,6351,2016-11-15 10:18:22.947000,-41.71604,174.26478,11143.0,2.41184641382,,0.0,,smi:local/2016_11_17t13_21_07_20161115T101826.611729,258.0,2.41184641382,,,ML,0.0,0.0,9.0,29.0,1.45945189493,515.0,0.0,391.0,2021-06-09 22:15:48.000000,EQcorrscan,,2021-06-08 15:43:03.262634,,,,,,,,2016_11_17t13_21_07,Strike-slip
6352,6352,2016-11-15 10:18:56.035000,-42.12679,173.73826,8874.0,2.30660087028,,0.0,,smi:local/2017_01_04t07_37_53_20161115T101900.445063,779.0,2.30660087028,,,ML,0.0,0.0,9.0,17.0,0.976147058824,74.0,0.0,583.0,2021-06-09 22:15:51.000000,EQcorrscan,,2021-06-08 15:42:39.895013,,,,,,,,2017_01_04t07_37_53,Normal
6353,6353,2016-11-15 10:19:19.055000,-42.27428,173.76605,7032.0,2.61508759159,,0.0,,smi:local/2017_01_05t18_46_33_20161115T101923.511729,144.0,2.61508759159,,,ML,0.0,0.0,11.0,25.0,1.09691950464,265.0,0.0,783.0,2021-06-09 22:15:54.000000,EQcorrscan,,2021-06-08 15:42:56.253021,,,,,,,,2017_01_05t18_46_33,Reverse
6354,6354,2016-11-15 10:20:00.008000,-41.79178,174.09713,12693.0,2.61150938146,,0.0,,smi:local/2016_12_06t14_38_45_20161115T102003.711729,442.0,2.61150938146,,,ML,0.0,0.0,14.0,35.0,0.938996351475,409.0,0.0,168.0,2021-06-09 22:15:58.000000,EQcorrscan,,2021-06-08 15:42:47.586605,,,,,,,,2016_12_06t14_38_45,Strike-slip
6355,6355,2016-11-15 10:20:29.249000,-41.80111,174.20996,7928.0,2.78630823651,,0.0,,smi:local/2016_12_01t05_07_33_20161115T102032.211729,568.0,2.78630823651,,,ML,0.0,0.0,10.0,24.0,2.50446153846,292.0,0.0,342.0,2021-06-09 22:16:01.000000,EQcorrscan,,2021-06-08 15:43:03.650541,,,,,,,,2016_12_01t05_07_33,Strike-slip
6356,6356,2016-11-15 10:20:42.380000,-42.07451,173.66483,6081.0,2.49968161437,,0.0,,smi:local/2016_11_15t07_24_35_20161115T102050.711729,159.0,2.49968161437,,,ML,0.0,0.0,9.0,36.0,4.56942106036,674.0,0.0,116.0,2021-06-09 22:16:05.000000,EQcorrscan,,2021-06-08 15:42:34.037169,,,,,,,,2016_11_15t07_24_35,Unknown
6357,6357,2016-11-15 10:21:24.907000,-41.73924,174.28271,11624.0,2.39123901304,,0.0,,smi:local/2016_11_18t11_10_47_20161115T102128.945063,561.0,2.39123901304,,,ML,0.0,0.0,12.0,25.0,0.73529024615,784.0,0.0,304.0,2021-06-09 22:16:08.000000,EQcorrscan,,2021-06-08 15:42:27.697456,,,,,,,,2016_11_18t11_10_47,Strike-slip
6358,6358,2016-11-15 10:22:03.120775,-42.074031,173.805945,5378.906,1.79632963568,,13.0,157.086,smi:local/2016_11_15t09_12_09_20161115T102211.711729,,1.79632963568,,,ML,2.0,11.0,2.0,15.0,0.418474,13.0,11.0,3889.37012895,2021-06-09 22:16:10.000000,EQcorrscan,,2021-06-08 15:42:47.566592,,"BHW, CAW, DSZ, GVZ, KHZ, LTZ, MQZ, NNZ, OXZ, THZ, TKNZ",,,,,,2016_11_15t09_12_09,Strike-slip
6359,6359,2016-11-15 10:22:11.340908,-41.813558,174.144494,12195.312,1.870216589,,8.0,231.195,smi:local/2016_11_15t06_34_53_20161115T102216.511729,,1.870216589,,,ML,5.0,3.0,5.0,5.0,0.416367,8.0,6.0,4278.62127326,2021-06-09 22:16:11.000000,EQcorrscan,,2021-06-08 15:42:42.161775,,"BSWZ, CMWZ, MRNZ, THZ, TKNZ, WEL",,,,,,2016_11_15t06_34_53,Unknown
6360,6360,2016-11-15 10:22:30.042000,-42.07593,173.66506,6067.0,1.94791218334,,0.0,,smi:local/2016_11_15t07_24_35_20161115T102238.245063,183.0,1.94791218334,,,ML,0.0,0.0,10.0,29.0,1.11896067568,463.0,0.0,109.0,2021-06-09 22:16:15.000000,EQcorrscan,,2021-06-08 15:42:34.410238,,,,,,,,2016_11_15t07_24_35,Unknown
6361,6361,2016-11-15 10:22:42.124000,-42.22784,173.68188,15146.0,1.73086071015,,0.0,,smi:local/2016_11_23t02_50_21_20161115T102246.378396,125.0,1.73086071015,,,ML,0.0,0.0,5.0,14.0,0.507694918204,441.0,0.0,39.0,2021-06-09 22:16:16.000000,EQcorrscan,,2021-06-08 15:43:06.323301,,,,,,,,2016_11_23t02_50_21,Strike-slip
6362,6362,2016-11-15 10:23:52.065782,-41.705797,174.28039,3953.125,2.04066680362,,12.0,146.233,smi:local/2016_11_14t07_52_04_20161115T102359.078396,,2.04066680362,,,ML,5.0,7.0,5.0,11.0,0.308717,12.0,9.0,6214.5715862,2021-06-09 22:16:18.000000,EQcorrscan,,2021-06-08 15:42:28.672803,,"BHW, BSWZ, CAW, KIW, MTW, OGWZ, OXZ, PLWZ, WEL",,,,,,2016_11_14t07_52_04,Strike-slip
6363,6363,2016-11-15 10:24:26.736000,-41.73935,174.28314,11565.0,2.14735223967,,0.0,,smi:local/2016_11_18t11_10_47_20161115T102430.178396,557.0,2.14735223967,,,ML,0.0,0.0,2.0,17.0,0.15,161.0,0.0,274.0,2021-06-09 22:16:20.000000,EQcorrscan,,2021-06-08 15:42:27.763696,,,,,,,,2016_11_18t11_10_47,Strike-slip
6364,6364,2016-11-15 10:24:53.992000,-41.73939,174.22886,11476.0,2.31769217954,,0.0,,smi:local/2016_11_13t22_34_54_20161115T102500.345063,741.0,2.31769217954,,,ML,0.0,0.0,6.0,19.0,2.15192307692,15.0,0.0,359.0,2021-06-09 22:16:21.000000,EQcorrscan,,2021-06-08 15:42:33.471225,,,,,,,,2016_11_13t22_34_54,Strike-slip
6365,6365,2016-11-15 10:25:14.885000,-42.30171,173.82789,11130.0,3.17603133536,,0.0,,smi:local/2016_11_15t10_25_21_20161115T102521.245063,143.0,3.17603133536,,,ML,0.0,0.0,18.0,30.0,0.9,28.0,0.0,110.0,2021-06-09 22:16:26.000000,EQcorrscan,,2021-06-08 15:42:33.689749,,,,,,,,2016_11_15t10_25_21,Unknown
6366,6366,2016-11-15 10:25:30.014000,-42.37471,172.84093,42490.0,3.16410045286,,0.0,,smi:local/2016_11_15t10_28_15_20161115T102541.345063,14.0,3.16410045286,,,ML,0.0,0.0,8.0,35.0,0.0625,70.0,0.0,30.0,2021-06-09 22:16:29.000000,EQcorrscan,,2021-06-08 15:42:44.489771,,,,,,,,2016_11_15t10_28_15,Strike-slip
6367,6367,2016-11-15 10:26:58.008000,-42.08151,173.71528,1053.0,2.11671087635,,0.0,,smi:local/2016_11_15t12_32_20_20161115T102701.778396,30.0,2.11671087635,,,ML,0.0,0.0,10.0,34.0,1.78767981844,422.0,0.0,74.0,2021-06-09 22:16:32.000000,EQcorrscan,,2021-06-08 15:42:40.333736,,,,,,,,2016_11_15t12_32_20,Unknown
6368,6368,2016-11-15 10:27:18.918000,-42.21779,173.69609,8472.0,2.34119153692,,0.0,,smi:local/2016_11_15t12_14_16_20161115T102722.511729,431.0,2.34119153692,,,ML,0.0,0.0,8.0,20.0,0.736717752235,166.0,0.0,367.0,2021-06-09 22:16:35.000000,EQcorrscan,,2021-06-08 15:42:36.995790,,,,,,,,2016_11_15t12_14_16,Reverse
6369,6369,2016-11-15 10:28:04.017000,-42.37431,172.84351,42252.0,3.40355332309,,0.0,,smi:local/2016_11_15t10_28_15_20161115T102815.878396,7.0,3.40355332309,,,ML,0.0,0.0,21.0,36.0,0.196923076923,96.0,0.0,19.0,2021-06-09 22:16:40.000000,EQcorrscan,,2021-06-08 15:42:44.467455,,,126.376578056556,47.2099106129794,-21.7859410048948,3.38689872203597,25.157354706234,2016_11_15t10_28_15,Strike-slip
6370,6370,2016-11-15 10:30:10.222000,-42.22594,173.67619,7800.0,2.47061808829,,0.0,,smi:local/2016_11_18t22_14_38_20161115T103014.311729,227.0,2.47061808829,,,ML,0.0,0.0,9.0,21.0,2.20456730769,45.0,0.0,275.0,2021-06-09 22:16:42.000000,EQcorrscan,,2021-06-08 15:42:45.695011,,,,,,,,2016_11_18t22_14_38,Strike-slip
6371,6371,2016-11-15 10:30:12.921000,-42.35019,173.7655,15759.0,2.48059508019,,0.0,,smi:local/2016_11_15t10_48_56_20161115T103027.045063,207.0,2.48059508019,,,ML,0.0,0.0,15.0,24.0,0.950659340659,82.0,0.0,328.0,2021-06-09 22:16:46.000000,EQcorrscan,,2021-06-08 15:42:57.287187,,,,,,,,2016_11_15t10_48_56,Unknown
6372,6372,2016-11-15 10:30:48.336000,-42.45653,173.86198,5395.0,2.51188316043,,0.0,,smi:local/2016_11_15t17_47_18_20161115T103056.578396,134.0,2.51188316043,,,ML,0.0,0.0,3.0,22.0,22.8857142857,72.0,0.0,143.0,2021-06-09 22:16:48.000000,EQcorrscan,,2021-06-08 15:43:00.067206,,,,,,,,2016_11_15t17_47_18,Reverse
6373,6373,2016-11-15 10:31:57.095000,-41.73841,174.15883,14363.0,3.56935676425,,0.0,,smi:local/2016_11_15t10_32_00_20161115T103200.478396,43.0,3.56935676425,,,ML,0.0,0.0,20.0,27.0,0.708891733285,4493.0,0.0,79.0,2021-06-09 22:16:52.000000,EQcorrscan,,2021-06-08 15:42:35.662853,,,109.384345318393,68.5896810350526,-30.951530017856,4.57545478163202,21.219751410129,2016_11_15t10_32_00,Strike-slip
6374,6374,2016-11-15 10:33:40.866000,-41.76788,174.29124,15508.0,3.08604097249,,0.0,,smi:local/2016_11_15t10_33_47_20161115T103347.911729,610.0,3.08604097249,,,ML,0.0,0.0,3.0,17.0,1.07970099668,314.0,0.0,223.0,2021-06-09 22:16:54.000000,EQcorrscan,,2021-06-08 15:42:43.667497,,,128.533729810139,49.347644755852,-61.8071851898859,2.37674916743922,30.7405098224615,2016_11_15t10_33_47,Normal
6375,6375,2016-11-15 10:34:53.004000,-41.81255,174.2514,14291.0,2.09674964647,,0.0,,smi:local/2016_11_25t02_19_16_20161115T103457.311729,960.0,2.09674964647,,,ML,0.0,0.0,8.0,13.0,0.207320261438,26.0,0.0,664.0,2021-06-09 22:16:56.000000,EQcorrscan,,2021-06-08 15:42:48.058222,,,,,,,,2016_11_25t02_19_16,Strike-slip
6376,6376,2016-11-15 10:36:45.344000,-42.70452,172.80762,1484.0,3.1632258514,,0.0,,smi:local/2016_11_15t10_36_54_20161115T103654.478396,134.0,3.1632258514,,,ML,0.0,0.0,12.0,22.0,6.97436065574,264.0,0.0,353.0,2021-06-09 22:16:59.000000,EQcorrscan,,2021-06-08 15:42:51.484328,,,325.557054487929,65.8202202743699,31.52017373144,2.2763867593447,31.5002864947199,2016_11_15t10_36_54,Strike-slip
6377,6377,2016-11-15 10:37:41.934000,-42.24076,173.62326,15283.0,3.09139189864,,0.0,,smi:local/2016_11_15t10_37_47_20161115T103747.045063,168.0,3.09139189864,,,ML,0.0,0.0,20.0,30.0,0.612050018019,1119.0,0.0,290.0,2021-06-09 22:17:04.000000,EQcorrscan,,2021-06-08 15:43:04.701304,,,213.70112164737,67.1366162744768,137.384077199892,2.51527631703252,29.7706690816779,2016_11_15t10_37_47,Strike-slip
6378,6378,2016-11-15 10:39:59.845000,-42.24209,173.62515,15400.0,1.85600556066,,0.0,,smi:local/2016_11_15t10_37_47_20161115T104005.611729,201.0,1.85600556066,,,ML,0.0,0.0,6.0,17.0,0.431153846154,38.0,0.0,383.0,2021-06-09 22:17:06.000000,EQcorrscan,,2021-06-08 15:43:04.722904,,,,,,,,2016_11_15t10_37_47,Strike-slip
6379,6379,2016-11-15 10:40:29.831000,-41.80553,174.23647,3230.0,1.79892522962,,0.0,,smi:local/2016_11_13t14_12_30_20161115T104032.511729,646.0,1.79892522962,,,ML,0.0,0.0,4.0,18.0,1.67444444444,33.0,0.0,233.0,2021-06-09 22:17:08.000000,EQcorrscan,,2021-06-08 15:42:58.927890,,,,,,,,2016_11_13t14_12_30,Unknown
6380,6380,2016-11-15 10:40:46.576267,-42.466325,173.853395,1902.344,2.63309120122,,22.0,171.59,smi:local/2016_11_15t10_41_01_20161115T104101.411729,,2.63309120122,,,ML,13.0,9.0,13.0,17.0,0.459271,22.0,14.0,1777.07906408,2021-06-09 22:17:11.000000,EQcorrscan,,2021-06-08 15:42:46.435301,,"BSWZ, CAW, DSZ, DUWZ, GVZ, KIW, LTZ, MQZ, MRNZ, MTW, NNZ, OXZ, THZ, TKNZ",,,,,,2016_11_15t10_41_01,Unknown
6381,6381,2016-11-15 10:42:11.228000,-42.36861,173.79723,1192.0,3.07981859472,,0.0,,smi:local/2016_11_18t01_15_21_20161115T104216.811729,171.0,3.07981859472,,,ML,0.0,0.0,7.0,13.0,2.3529,66.0,0.0,153.0,2021-06-09 22:17:12.000000,EQcorrscan,,2021-06-08 15:43:05.950540,,,,,,,,2016_11_18t01_15_21,Unknown
6382,6382,2016-11-15 10:42:42.793000,-41.72102,174.28797,2662.0,2.57576978327,,0.0,,smi:local/2016_11_15t02_44_03_20161115T104251.245063,591.0,2.57576978327,,,ML,0.0,0.0,12.0,27.0,1.26652569525,370.0,0.0,351.0,2021-06-09 22:17:16.000000,EQcorrscan,,2021-06-08 15:42:45.254913,,,,,,,,2016_11_15t02_44_03,Strike-slip
6383,6383,2016-11-15 10:42:53.296000,-41.72094,174.2891,2667.0,2.33465317964,,0.0,,smi:local/2016_11_15t02_44_03_20161115T104301.111729,574.0,2.33465317964,,,ML,0.0,0.0,6.0,23.0,5.92222222222,160.0,0.0,298.0,2021-06-09 22:17:18.000000,EQcorrscan,,2021-06-08 15:42:45.286930,,,,,,,,2016_11_15t02_44_03,Strike-slip
6384,6384,2016-11-15 10:44:50.196277,-42.329586,173.279453,19031.25,,,5.0,135.594,smi:local/2016_11_13t20_33_17_20161115T104502.645063,,,,,,5.0,0.0,5.0,0.0,0.0344001,5.0,5.0,21020.3710719,2021-06-09 22:17:19.000000,EQcorrscan,,2021-06-08 15:42:27.349798,,"CMWZ, MQZ, MRNZ, PLWZ, THZ",,,,,,2016_11_13t20_33_17,Normal
6385,6385,2016-11-15 10:45:58.059000,-42.60705,173.10571,10669.0,2.6449317699,,0.0,,smi:local/2016_11_27t00_17_01_20161115T104606.678396,61.0,2.6449317699,,,ML,0.0,0.0,11.0,18.0,0.844014549121,601.0,0.0,42.0,2021-06-09 22:17:21.000000,EQcorrscan,,2021-06-08 15:42:41.855470,,,,,,,,2016_11_27t00_17_01,Normal
6386,6386,2016-11-15 10:46:08.638000,-42.26206,173.81124,6960.0,2.45410200162,,0.0,,smi:local/2016_11_15t06_41_54_20161115T104621.645063,24.0,2.45410200162,,,ML,0.0,0.0,4.0,20.0,6.59428571429,16.0,0.0,24.0,2021-06-09 22:17:23.000000,EQcorrscan,,2021-06-08 15:42:58.485197,,,,,,,,2016_11_15t06_41_54,Reverse
6387,6387,2016-11-15 10:46:50.899000,-42.27594,173.81414,11934.0,2.61739321444,,0.0,,smi:local/2016_12_31t05_12_23_20161115T104655.545063,365.0,2.61739321444,,,ML,0.0,0.0,11.0,10.0,2.46119443087,201.0,0.0,450.0,2021-06-09 22:17:26.000000,EQcorrscan,,2021-06-08 15:42:48.002128,,,,,,,,2016_12_31t05_12_23,Reverse
6388,6388,2016-11-15 10:47:38.110000,-42.40119,173.68025,2469.0,2.52181884995,,0.0,,smi:local/2016_11_18t08_47_57_20161115T104745.411729,3.0,2.52181884995,,,ML,0.0,0.0,15.0,19.0,0.881208791209,54.0,0.0,4.0,2021-06-09 22:17:29.000000,EQcorrscan,,2021-06-08 15:42:58.151357,,,,,,,,2016_11_18t08_47_57,Strike-slip
6389,6389,2016-11-15 10:48:42.063000,-42.35129,173.76368,15759.0,3.28538214465,,0.0,,smi:local/2016_11_15t10_48_56_20161115T104856.011729,119.0,3.28538214465,,,ML,0.0,0.0,20.0,30.0,0.823831142971,112.0,0.0,417.0,2021-06-09 22:17:34.000000,EQcorrscan,,2021-06-08 15:42:57.264899,,,,,,,,2016_11_15t10_48_56,Unknown
6390,6390,2016-11-15 10:49:13.009000,-42.04573,173.75012,7261.0,3.21861686231,,0.0,,smi:local/2016_11_15t10_49_20_20161115T104920.911729,539.0,3.21861686231,,,ML,0.0,0.0,14.0,14.0,0.400909090909,42.0,0.0,240.0,2021-06-09 22:17:39.000000,EQcorrscan,,2021-06-08 15:42:38.266276,,,,,,,,2016_11_15t10_49_20,Unknown
6391,6391,2016-11-15 10:50:17.106000,-41.74056,174.15668,14321.0,3.28041714575,,0.0,,smi:local/2016_11_15t10_50_21_20161115T105021.311729,46.0,3.28041714575,,,ML,0.0,0.0,11.0,29.0,0.906831902224,2372.0,0.0,97.0,2021-06-09 22:17:37.000000,EQcorrscan,,2021-06-08 15:43:06.493875,,,,,,,,2016_11_15t10_50_21,Unknown
6392,6392,2016-11-15 10:51:40.772000,-41.7411,174.22127,12187.0,1.71919323866,,0.0,,smi:local/2016_11_15t12_12_08_20161115T105144.511729,,1.71919323866,,,ML,0.0,0.0,5.0,8.0,0.33,8.0,0.0,0.0,2021-06-09 22:17:41.000000,EQcorrscan,,2021-06-08 15:42:35.106854,,,,,,,,2016_11_15t12_12_08,Strike-slip
6393,6393,2016-11-15 10:51:55.025000,-42.26031,173.88204,3910.0,2.13913669436,,0.0,,smi:local/2016_11_15t10_55_05_20161115T105202.978396,586.0,2.13913669436,,,ML,0.0,0.0,17.0,34.0,0.487104477612,164.0,0.0,366.0,2021-06-09 22:17:46.000000,EQcorrscan,,2021-06-08 15:42:25.343466,,,,,,,,2016_11_15t10_55_05,Strike-slip
